ProductName,RetailSPrice,TotalQtySold,UniqueDates,DaysUsed
EGG 30 PCS,475.0,10.5,"[Timestamp('2021-08-05 00:00:00'), Timestamp('2021-08-06 00:00:00'), Timestamp('2021-08-07 00:00:00'), Timestamp('2021-08-10 00:00:00'), Timestamp('2021-08-11 00:00:00'), Timestamp('2021-08-14 00:00:00'), Timestamp('2021-08-18 00:00:00')]",14
EGG 30 PCS,480.0,47.0,"[Timestamp('2021-09-17 00:00:00'), Timestamp('2021-09-18 00:00:00'), Timestamp('2021-09-19 00:00:00'), Timestamp('2021-09-20 00:00:00'), Timestamp('2021-09-22 00:00:00'), Timestamp('2021-09-28 00:00:00'), Timestamp('2021-09-29 00:00:00'), Timestamp('2021-09-30 00:00:00'), Timestamp('2021-10-01 00:00:00'), Timestamp('2021-10-02 00:00:00'), Timestamp('2021-10-06 00:00:00'), Timestamp('2021-10-07 00:00:00'), Timestamp('2021-10-12 00:00:00'), Timestamp('2021-10-14 00:00:00'), Timestamp('2021-10-15 00:00:00'), Timestamp('2021-10-16 00:00:00'), Timestamp('2021-10-18 00:00:00'), Timestamp('2021-10-19 00:00:00'), Timestamp('2021-10-20 00:00:00'), Timestamp('2021-10-21 00:00:00'), Timestamp('2021-10-29 00:00:00'), Timestamp('2021-10-30 00:00:00'), Timestamp('2021-11-05 00:00:00'), Timestamp('2021-11-06 00:00:00'), Timestamp('2021-11-07 00:00:00'), Timestamp('2021-11-12 00:00:00'), Timestamp('2021-11-14 00:00:00'), Timestamp('2021-11-20 00:00:00'), Timestamp('2021-11-22 00:00:00')]",67
FUSION CART 4 PCS,1188.0,2.0,"[Timestamp('2020-09-21 00:00:00'), Timestamp('2020-10-03 00:00:00')]",13
FUSION CART 4 PCS,1200.0,1.0,[Timestamp('2021-06-28 00:00:00')],1
FUSION CART 4 PCS,1209.0,5.0,"[Timestamp('2020-10-17 00:00:00'), Timestamp('2020-10-22 00:00:00'), Timestamp('2020-11-24 00:00:00'), Timestamp('2020-12-17 00:00:00')]",30
FUSION CART 4 PCS,1220.0,10.0,"[Timestamp('2021-02-14 00:00:00'), Timestamp('2021-02-18 00:00:00'), Timestamp('2021-03-11 00:00:00'), Timestamp('2021-03-19 00:00:00'), Timestamp('2021-06-16 00:00:00'), Timestamp('2021-09-27 00:00:00'), Timestamp('2021-10-06 00:00:00'), Timestamp('2021-10-10 00:00:00'), Timestamp('2021-10-25 00:00:00')]",64
FUSION CART 4 PCS,1320.0,9.0,"[Timestamp('2022-03-18 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-19 00:00:00'), Timestamp('2022-04-30 00:00:00'), Timestamp('2022-05-12 00:00:00')]",56
FUSION CART 4 PCS,1327.0,6.0,"[Timestamp('2022-06-05 00:00:00'), Timestamp('2022-06-13 00:00:00'), Timestamp('2022-06-21 00:00:00'), Timestamp('2022-06-28 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-09 00:00:00')]",35
FUSION CART 4 PCS,1340.0,8.0,"[Timestamp('2021-11-16 00:00:00'), Timestamp('2021-11-21 00:00:00'), Timestamp('2021-12-03 00:00:00'), Timestamp('2021-12-17 00:00:00'), Timestamp('2021-12-18 00:00:00'), Timestamp('2021-12-19 00:00:00'), Timestamp('2022-01-12 00:00:00'), Timestamp('2022-01-23 00:00:00')]",69
GATORADE 515 ML BLUE BLAST,220.0,34.0,"[Timestamp('2020-09-16 00:00:00'), Timestamp('2020-09-22 00:00:00'), Timestamp('2020-09-23 00:00:00'), Timestamp('2020-09-25 00:00:00'), Timestamp('2020-10-03 00:00:00'), Timestamp('2020-10-11 00:00:00'), Timestamp('2020-10-12 00:00:00'), Timestamp('2020-10-15 00:00:00'), Timestamp('2020-10-16 00:00:00'), Timestamp('2020-10-17 00:00:00'), Timestamp('2020-10-18 00:00:00'), Timestamp('2020-10-19 00:00:00'), Timestamp('2020-10-20 00:00:00'), Timestamp('2020-10-21 00:00:00'), Timestamp('2020-10-22 00:00:00'), Timestamp('2020-10-23 00:00:00'), Timestamp('2020-10-29 00:00:00'), Timestamp('2020-11-01 00:00:00'), Timestamp('2020-11-06 00:00:00'), Timestamp('2021-04-26 00:00:00'), Timestamp('2021-04-28 00:00:00'), Timestamp('2021-05-04 00:00:00'), Timestamp('2021-05-08 00:00:00'), Timestamp('2021-05-11 00:00:00'), Timestamp('2021-05-15 00:00:00')]",72
